ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,arity,update_pct,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
352820,141780,298107,285381,13,0,0,-1,52,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
352820,141780,16928,0,4,0,0,-1,54,0,216,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
196742,141568,129924,107538,21,0,0,-1,108,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
196742,141568,31477,1,4,0,0,-1,78,0,212,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
242226,141636,187335,161587,17,0,0,-1,52,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
242226,141636,25557,0,3,0,0,-1,90,0,216,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
180791,141604,138525,114861,15,0,0,-1,60,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
180791,141604,14389,0,1,0,0,-1,58,0,208,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
291375,141780,191724,167472,11,0,0,-1,46,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
291375,141780,69554,1,9,0,0,-1,124,0,220,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
256971,141520,198393,178934,18,0,0,-1,148,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
256971,141520,31059,1,6,0,0,-1,114,0,260,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
202627,141780,114478,91113,18,0,0,-1,56,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
202627,141780,66929,0,2,0,0,-1,78,0,212,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
252128,141828,203595,172925,27,0,0,-1,81,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
252128,141828,20479,0,7,0,0,-1,112,0,197,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
194773,141588,155995,125310,19,0,0,-1,97,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
194773,141588,17330,0,3,0,0,-1,62,0,199,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
449352,141344,332396,304594,15,0,0,-1,167,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
449352,141344,84095,1,6,0,0,-1,83,0,278,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
255587,141800,204873,180343,31,0,0,-1,120,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
255587,141800,23329,0,2,0,0,-1,183,0,224,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
198738,141972,135380,108092,12,0,0,-1,68,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
198738,141972,31007,0,2,0,0,-1,88,0,204,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
298305,141624,238116,215084,13,0,0,-1,65,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
298305,141624,29176,0,3,0,0,-1,94,0,209,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
226521,141608,174528,146629,31,0,0,-1,144,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
226521,141608,29561,0,2,0,0,-1,67,0,254,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
368964,141736,307394,286611,27,0,0,-1,97,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
368964,141736,30862,0,3,0,0,-1,118,0,199,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
239740,141652,183577,153200,25,0,0,-1,119,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
239740,141652,31664,1,3,0,0,-1,70,0,224,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
170900,141712,124279,105062,16,0,0,-1,100,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
170900,141712,27295,0,3,0,0,-1,82,0,205,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
230645,141588,163435,136122,18,0,0,-1,110,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
230645,141588,33145,1,4,0,0,-1,96,0,217,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
271482,141532,227233,214120,17,0,0,-1,52,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
271482,141532,13831,0,4,0,0,-1,55,0,216,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
452018,141968,318848,293415,17,0,0,-1,79,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
452018,141968,96278,1,7,0,0,-1,160,0,197,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
193185,141604,143391,125848,16,0,0,-1,106,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
193185,141604,22327,0,6,0,0,-1,172,0,211,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
246900,141776,180952,147416,36,0,0,-1,109,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
246900,141776,33300,1,4,0,0,-1,93,0,217,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
196542,141972,150318,126007,16,0,0,-1,48,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
196542,141972,17662,0,2,0,0,-1,84,0,220,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
450002,141652,322995,293793,15,0,0,-1,48,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
450002,141652,90986,1,7,0,0,-1,96,0,220,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
296440,141604,229241,207518,27,0,0,-1,96,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
296440,141604,31982,0,3,0,0,-1,113,0,199,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
260612,141696,198303,170860,52,0,0,-1,49,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
260612,141696,31913,1,3,0,0,-1,85,0,216,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
234545,141776,180086,167805,11,0,0,-1,58,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
234545,141776,25707,0,1,0,0,-1,64,0,212,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
202246,141608,144809,131867,11,0,0,-1,42,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
202246,141608,26648,0,1,0,0,-1,56,0,224,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
401733,141796,350819,257440,15,0,0,-1,199,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
401733,141796,19414,1,9,0,0,-1,61,0,320,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
226640,141428,167264,150647,27,0,0,-1,70,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
226640,141428,30119,0,2,0,0,-1,109,0,205,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
244214,141624,194024,176988,29,0,0,-1,99,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
244214,141624,27100,0,2,0,0,-1,108,0,205,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
256752,141816,190538,171672,19,0,0,-1,60,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
256752,141816,29926,1,5,0,0,-1,78,0,208,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
222679,141316,172501,157218,27,0,0,-1,86,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
222679,141316,23848,0,4,0,0,-1,61,0,193,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
227981,141776,139171,116472,14,0,0,-1,131,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
227981,141776,63159,1,2,0,0,-1,80,0,236,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
273462,141576,218091,196828,16,0,0,-1,132,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
273462,141576,20895,0,3,0,0,-1,73,0,236,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
349081,141512,298061,284061,16,0,0,-1,70,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
349081,141512,14445,0,2,0,0,-1,69,0,205,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
216760,141288,183006,158022,26,0,0,-1,75,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
216760,141288,14298,0,1,0,0,-1,86,0,201,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
335547,141588,282039,253115,19,0,0,-1,114,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
335547,141588,28085,0,3,0,0,-1,117,0,218,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
195917,141596,129550,108715,19,0,0,-1,59,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
195917,141596,31028,1,4,0,0,-1,104,0,208,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
290038,141800,235635,196238,84,0,0,-1,116,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
290038,141800,27126,0,2,0,0,-1,112,0,218,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
233918,141584,177856,156036,30,0,0,-1,111,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
233918,141584,31221,1,4,0,0,-1,131,0,217,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
439007,141760,323088,293966,17,0,0,-1,77,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
439007,141760,82184,0,3,0,0,-1,130,0,201,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
246567,141652,184879,155179,19,0,0,-1,86,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
246567,141652,30325,0,4,0,0,-1,85,0,193,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
252175,141520,201189,171961,29,0,0,-1,82,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
252175,141520,23844,0,2,0,0,-1,73,0,197,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
224370,141720,166252,143301,13,0,0,-1,39,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
224370,141720,35069,0,2,0,0,-1,203,0,224,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
188600,141524,142969,94611,11,0,0,-1,85,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
188600,141524,24472,0,2,0,0,-1,68,0,193,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
235830,141652,181098,155647,23,0,0,-1,88,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
235830,141652,29184,0,2,0,0,-1,105,0,188,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
247171,141960,183516,148844,25,0,0,-1,109,0,213,8,0,4,dropmon,717,1020,0,2166,1,127,False,15991029,144080
