inv_time,inv_memory,network,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
60066,14844,network-all,1,timeout,236,524,0,7349,107,3606,True,112994761,149340
58689,14844,network-all,1,timeout,236,524,0,7349,608,3606,True,112994761,149340
62148,14844,network-all,1,timeout,236,524,0,7349,822,3606,True,112994761,149340
64168,14844,network-all,1,timeout,236,524,0,7349,19,3606,True,112994761,149340
67776,14844,network-all,1,timeout,236,524,0,7349,827,3606,True,112994761,149340
59838,14844,network-all,1,timeout,236,524,0,7349,532,3606,True,112994761,149340
56197,14844,network-all,1,timeout,236,524,0,7349,54,3606,True,112994761,149340
64803,14844,network-all,1,timeout,236,524,0,7349,1016,3606,True,112994761,149340
58622,14844,network-all,1,timeout,236,524,0,7349,436,3606,True,112994761,149340
59730,14844,network-all,1,timeout,236,524,0,7349,156,3606,True,112994761,149340
56711,14844,network-all,1,timeout,236,524,0,7349,614,3606,True,112994761,149340
57397,14844,network-all,1,timeout,236,524,0,7349,542,3606,True,112994761,149340
67369,14844,network-all,1,timeout,236,524,0,7349,102,3606,True,112994761,149340
63875,14844,network-all,1,timeout,236,524,0,7349,700,3606,True,112994761,149340
57300,14844,network-all,1,timeout,236,524,0,7349,55,3606,True,112994761,149340
90589,14844,network-all,1,timeout,236,524,0,7349,454,3606,True,112994761,149340
70892,14844,network-all,1,timeout,236,524,0,7349,125,3606,True,112994761,149340
59598,14844,network-all,1,timeout,236,524,0,7349,797,3606,True,112994761,149340
61337,14844,network-all,1,timeout,236,524,0,7349,691,3606,True,112994761,149340
57111,14844,network-all,1,timeout,236,524,0,7349,582,3606,True,112994761,149340
70366,14844,network-all,1,timeout,236,524,0,7349,646,3606,True,112994761,149340
62351,14844,network-all,1,timeout,236,524,0,7349,961,3606,True,112994761,149340
65079,14844,network-all,1,timeout,236,524,0,7349,183,3606,True,112994761,149340
56984,14844,network-all,1,timeout,236,524,0,7349,139,3606,True,112994761,149340
63709,14844,network-all,1,timeout,236,524,0,7349,703,3606,True,112994761,149340
63597,14844,network-all,1,timeout,236,524,0,7349,487,3606,True,112994761,149340
59894,14844,network-all,1,timeout,236,524,0,7349,596,3606,True,112994761,149340
57355,14844,network-all,1,timeout,236,524,0,7349,580,3606,True,112994761,149340
61527,14844,network-all,1,timeout,236,524,0,7349,179,3606,True,112994761,149340
65814,14844,network-all,1,timeout,236,524,0,7349,637,3606,True,112994761,149340
61905,14844,network-all,1,timeout,236,524,0,7349,671,3606,True,112994761,149340
67202,14844,network-all,1,timeout,236,524,0,7349,934,3606,True,112994761,149340
59623,14844,network-all,1,timeout,236,524,0,7349,895,3606,True,112994761,149340
62097,14844,network-all,1,timeout,236,524,0,7349,349,3606,True,112994761,149340
59365,14844,network-all,1,timeout,236,524,0,7349,905,3606,True,112994761,149340
60663,14844,network-all,1,timeout,236,524,0,7349,73,3606,True,112994761,149340
616951,14844,network-all,1,timeout,236,524,0,7349,1039,3606,True,112994761,149340
62943,14844,network-all,1,timeout,236,524,0,7349,649,3606,True,112994761,149340
611057,14844,network-all,1,timeout,236,524,0,7349,1033,3606,True,112994761,149340
66919,14844,network-all,1,timeout,236,524,0,7349,954,3606,True,112994761,149340
58181,14844,network-all,1,timeout,236,524,0,7349,536,3606,True,112994761,149340
90462,14844,network-all,1,timeout,236,524,0,7349,1005,3606,True,112994761,149340
63784,14844,network-all,1,timeout,236,524,0,7349,634,3606,True,112994761,149340
61378,14844,network-all,1,timeout,236,524,0,7349,515,3606,True,112994761,149340
58570,14844,network-all,1,timeout,236,524,0,7349,740,3606,True,112994761,149340
68470,14844,network-all,1,timeout,236,524,0,7349,173,3606,True,112994761,149340
59755,14844,network-all,1,timeout,236,524,0,7349,688,3606,True,112994761,149340
60409,14844,network-all,1,timeout,236,524,0,7349,758,3606,True,112994761,149340
62598,14844,network-all,1,timeout,236,524,0,7349,669,3606,True,112994761,149340
61129,14844,network-all,1,timeout,236,524,0,7349,400,3606,True,112994761,149340
58753,14844,network-all,1,timeout,236,524,0,7349,56,3606,True,112994761,149340
60993,14844,network-all,1,timeout,236,524,0,7349,254,3606,True,112994761,149340
61178,14844,network-all,1,timeout,236,524,0,7349,784,3606,True,112994761,149340
66986,14844,network-all,1,timeout,236,524,0,7349,949,3606,True,112994761,149340
63655,14844,network-all,1,timeout,236,524,0,7349,598,3606,True,112994761,149340
67373,14844,network-all,1,timeout,236,524,0,7349,165,3606,True,112994761,149340
57037,14844,network-all,1,timeout,236,524,0,7349,26,3606,True,112994761,149340
58862,14844,network-all,1,timeout,236,524,0,7349,4,3606,True,112994761,149340
61323,14844,network-all,1,timeout,236,524,0,7349,518,3606,True,112994761,149340
58250,14844,network-all,1,timeout,236,524,0,7349,212,3606,True,112994761,149340
57593,14844,network-all,1,timeout,236,524,0,7349,20,3606,True,112994761,149340
64055,14844,network-all,1,timeout,236,524,0,7349,317,3606,True,112994761,149340
60831,14844,network-all,1,timeout,236,524,0,7349,728,3606,True,112994761,149340
63684,14844,network-all,1,timeout,236,524,0,7349,945,3606,True,112994761,149340
58192,14844,network-all,1,timeout,236,524,0,7349,910,3606,True,112994761,149340
61819,14844,network-all,1,timeout,236,524,0,7349,108,3606,True,112994761,149340
57424,14844,network-all,1,timeout,236,524,0,7349,211,3606,True,112994761,149340
718309,14844,network-all,1,timeout,236,524,0,7349,1044,3606,True,112994761,149340
58961,14844,network-all,1,timeout,236,524,0,7349,884,3606,True,112994761,149340
59832,14844,network-all,1,timeout,236,524,0,7349,413,3606,True,112994761,149340
66213,14844,network-all,1,timeout,236,524,0,7349,836,3606,True,112994761,149340
61988,14844,network-all,1,timeout,236,524,0,7349,79,3606,True,112994761,149340
59670,14844,network-all,1,timeout,236,524,0,7349,279,3606,True,112994761,149340
60116,14844,network-all,1,timeout,236,524,0,7349,232,3606,True,112994761,149340
67626,14844,network-all,1,timeout,236,524,0,7349,130,3606,True,112994761,149340
76120,14844,network-all,1,timeout,236,524,0,7349,62,3606,True,112994761,149340
60006,14844,network-all,1,timeout,236,524,0,7349,223,3606,True,112994761,149340
64575,14844,network-all,1,timeout,236,524,0,7349,1000,3606,True,112994761,149340
