inv_time,inv_memory,network,emulated_pct,fw_leaves_pct,invariants,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
876338,12864,as-733,4,20,16,1,timeout,103,239,0,33699,6,1,False,11435585,147504
313634,12864,as-733,4,20,16,1,timeout,103,239,0,33699,10,1,False,11435585,147504
301732,12864,as-733,4,20,16,1,timeout,103,239,0,33699,2,1,False,11435585,147504
886977,12864,as-733,4,20,16,1,timeout,103,239,0,33699,14,1,False,11435585,147504
305516,12864,as-733,4,20,16,1,timeout,103,239,0,33699,13,1,False,11435585,147504
1391620,12864,as-733,4,20,16,1,timeout,103,239,0,33699,3,1,True,11435585,147504
365259,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,16,1,False,5650096,143988
351638,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,5,1,False,5650096,143988
328402,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,4,1,False,5650096,143988
298470,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,1,1,False,5650096,143988
293017,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,9,1,True,5650096,143988
370931,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,8,1,True,5650096,143988
357805,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,12,1,True,5650096,143988
627809,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,15,1,True,5650096,143988
340439,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,7,1,False,5650096,143988
317631,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,11,1,True,5650096,143988
339913,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,6,1,True,5650096,143988
316357,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,10,1,True,5650096,143988
347070,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,2,1,False,5650096,143988
300589,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,14,1,False,5650096,143988
292703,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,13,1,False,5650096,143988
312570,9636,rocketfuel-bb-AS-3967,20,20,16,1,timeout,79,147,0,20727,3,1,False,5650096,143988
5531526,946544,as-733,12,20,16,1,timeout,1470,3131,0,441471,16,1,False,38663638,951552
421117,946544,as-733,12,20,16,1,timeout,1470,3131,0,441471,5,1,False,38663638,951552
