overall_lat,rewind_lat,rewind_injections,pkt_lat,drop_lat,timeout,lbs,servers,algorithm,procs,drop_method,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated
218926,8,-1,154,0,199,4,4,sh,1,timeout,26,25,0,128,1,1,False
2284576,2124443,3,116,0,194,4,4,sh,1,timeout,26,25,0,128,1,1,False
184536,7,-1,130,0,196,4,4,sh,1,timeout,26,25,0,128,1,1,False
176115,18,-1,138,0,186,4,4,sh,1,timeout,26,25,0,128,1,1,False
2229354,2027548,4,162,0,212,4,4,sh,1,timeout,26,25,0,128,1,1,False
200897,7,-1,160,0,227,4,4,sh,1,timeout,26,25,0,128,1,1,False
2109586,1941168,3,137,0,236,4,4,sh,1,timeout,26,25,0,128,1,1,False
209735,8,-1,109,0,221,4,4,sh,1,timeout,26,25,0,128,1,1,False
219070,7,-1,153,0,230,4,4,sh,1,timeout,26,25,0,128,1,1,False
2186299,2026092,4,129,0,215,4,4,sh,1,timeout,26,25,0,128,1,1,False
192846,8,-1,154,0,204,4,4,sh,1,timeout,26,25,0,128,1,1,False
1858251,1681347,2,133,0,203,4,4,sh,1,timeout,26,25,0,128,1,1,False
160659,8,-1,134,0,193,4,4,sh,1,timeout,26,25,0,128,1,1,False
184422,8,-1,155,0,183,4,4,sh,1,timeout,26,25,0,128,1,1,False
311677,8,-1,167,0,197,4,4,sh,1,timeout,26,25,0,128,1,1,False
2492606,2324128,4,113,0,209,4,4,sh,1,timeout,26,25,0,128,1,1,False
160727,9,-1,131,0,222,4,4,sh,1,timeout,26,25,0,128,1,1,False
1893038,1724471,3,124,0,227,4,4,sh,1,timeout,26,25,0,128,1,1,False
151142,8,-1,158,0,220,4,4,sh,1,timeout,26,25,0,128,1,1,False
192810,7,-1,156,0,229,4,4,sh,1,timeout,26,25,0,128,1,1,False
2303868,2126952,4,146,0,214,4,4,sh,1,timeout,26,25,0,128,1,1,False
159482,8,-1,161,0,210,4,4,sh,1,timeout,26,25,0,128,1,1,False
2067877,1882736,3,147,0,256,4,4,sh,1,timeout,26,25,0,128,1,1,False
201095,7,-1,145,0,236,4,4,sh,1,timeout,26,25,0,128,1,1,False
