ec_time,ec_mem,overall_lat,emu_startup,rewind,emu_reset,replay,rewind_injections,pkt_lat,drop_lat,timeout,apps,hosts,procs,drop_method,fault,num_nodes,num_links,num_updates,total_conn,invariant,independent_cec,violated,total_time,total_mem
444227,223400,197263,167551,33,0,0,-1,131,0,267,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
444227,223400,222582,189915,35,0,0,-1,92,0,274,8,8,1,timeout,False,88,136,0,524,2,32,False,802259170,156136
1129018,370988,397945,353010,84,0,0,-1,291,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1129018,370988,695650,660316,30,0,0,-1,91,0,454,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1196888,370988,640340,603614,49,0,0,-1,248,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1196888,370988,504426,486667,23,0,0,-1,45,0,400,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
933524,370988,381302,351232,43,0,0,-1,225,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
933524,370988,526609,505607,45,0,0,-1,87,0,371,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1276322,370988,505215,478056,73,0,0,-1,108,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1276322,370988,723052,676057,32,0,0,-1,86,0,237,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1000493,370988,273770,229737,34,0,0,-1,135,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1000493,370988,691771,670595,29,0,0,-1,72,0,263,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
862592,370988,239664,222708,23,0,0,-1,107,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
862592,370988,546549,518792,10,0,0,-1,62,0,237,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1149659,370988,332772,310262,20,0,0,-1,90,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1149659,370988,797199,736838,36,0,0,-1,58,0,224,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1031628,370988,294995,259428,73,0,0,-1,158,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1031628,370988,700669,653707,63,0,0,-1,195,0,292,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
996094,370988,588814,536722,113,0,0,-1,295,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
996094,370988,314111,283631,42,0,0,-1,71,0,455,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1477477,370988,829284,781724,24,0,0,-1,124,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1477477,370988,602102,575733,38,0,0,-1,86,0,255,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
967576,370988,235078,213567,26,0,0,-1,86,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
967576,370988,694018,660486,82,0,0,-1,135,0,229,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1099847,370988,762701,717636,30,0,0,-1,118,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1099847,370988,290140,256729,16,0,0,-1,47,0,249,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
997575,370988,410533,386841,75,0,0,-1,239,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
997575,370988,546416,529784,22,0,0,-1,62,0,388,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1119925,370988,416341,374283,72,0,0,-1,275,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1119925,370988,666085,629035,35,0,0,-1,98,0,431,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1004142,370988,257542,224466,19,0,0,-1,74,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
1004142,370988,699735,668246,47,0,0,-1,118,0,236,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
829715,370988,360566,331199,116,0,0,-1,94,0,250,12,12,12,dropmon,False,176,248,0,964,1,72,False,25820762,156652
